"","Rank","Film","Studio","Genre","Year","Gross","Gross.Dom","Pct.Dom","Gross.Ovr","Pct.Ovr","Rotten","IMDB","Rating","Days","Budget"
"38",69,"MIB 3","Sony","Action/Adventure",2012,6.24e+08,179000000,0.287,445000000,0.713,70,6.9,"PG13",108,225
"39",70,"Iron Man 2","Par.","Action/Adventure",2010,623900000,312400000,0.501,311500000,0.499,73,7.1,"PG13",105,200
"40",72,"The Lost World: Jurassic Park","Uni.","Action/Adventure",1997,618600000,229100000,0.37,389600000,0.63,52,6.4,"PG13",147,73
"41",74,"Mamma Mia!","Uni.","Comedy",2008,609800000,144100000,0.236,465700000,0.764,54,6.3,"PG13",111,52
"42",75,"Life of Pi","Fox","Action/Adventure",2012,6.09e+08,125000000,0.205,484000000,0.795,88,8.1,"PG",226,120
"43",77,"Casino Royale","Sony","Action/Adventure",2006,5.99e+08,167400000,0.28,431600000,0.72,95,7.9,"PG13",122,150
"44",78,"War of the Worlds","Par.","Action/Adventure",2005,591700000,234300000,0.396,357500000,0.604,74,6.5,"PG13",149,132
"45",80,"Men in Black","Sony","Comedy",1997,589400000,250700000,0.425,338700000,0.575,91,7.1,"PG13",144,90
"46",81,"The Hangover Part II","WB","Comedy",2011,586800000,254500000,0.434,332300000,0.566,34,6.5,"R",113,80
"47",82,"Quantum of Solace","Sony","Action/Adventure",2008,586100000,168400000,0.287,417700000,0.713,64,6.7,"PG13",77,200
"48",83,"I Am Legend","WB","Drama",2007,585300000,256400000,0.438,329000000,0.562,70,7.1,"PG13",119,150
"49",84,"Iron Man","Par.","Action/Adventure",2008,585200000,318400000,0.544,266800000,0.456,93,7.9,"PG13",154,140
"50",85,"The Croods","Fox","Animation",2013,577800000,184400000,0.319,393400000,0.681,69,7.4,"PG",109,135
"51",86,"Night at the Museum","Fox","Action/Adventure",2006,574500000,250900000,0.437,323600000,0.563,44,6.3,"PG",189,110
"52",87,"The Smurfs","Sony","Animation",2011,563700000,142600000,0.253,421100000,0.747,22,5.3,"PG",140,110
"53",92,"King Kong","Uni.","Action/Adventure",2005,550500000,218100000,0.396,332400000,0.604,84,7.3,"PG13",114,207
"54",93,"Ted","Uni.","Comedy",2012,549400000,218800000,0.398,330600000,0.602,68,7.1,"R",119,50
